X1_complex_code,X_10,X_20,X_40,X_60,X_80,X_100
2r58,8,3,8,23,60,17
3c2f,0,7,34,9,17,5
3g2y,8,16,7,5,74,1
3pce,5,16,26,53,40,69
1jfh,4,4,19,48,16,26
2w8w,4,18,17,45,69,15
3gv9,1,16,26,41,40,69
4tim,5,7,30,40,45,40
3gqz,1,19,7,12,66,1
3l7d,4,4,22,18,38,81
4ahr,8,16,21,52,56,71
4ahs,5,16,14,40,45,40
1x8d,5,13,23,38,78,41
4g0z,0,18,34,45,20,28
1icj,8,3,8,44,58,22
1m0n,1,18,17,45,69,15
2aac,5,13,23,38,78,41
4aci,5,10,18,36,43,12
1ajp,5,16,26,53,40,50
2igv,8,16,7,10,60,17
3ao5,1,8,9,5,32,48
1ew8,5,10,28,22,25,10
3ao1,5,13,38,13,64,56
4ahu,1,16,26,41,40,69
3ip8,8,16,26,41,40,69
4ddk,5,16,26,53,40,69
3dyo,8,4,19,18,19,3
3kgq,5,10,18,36,43,12
3mhw,5,13,38,13,29,56
3pcg,8,16,7,51,10,73
3rv4,0,9,34,9,17,37
4g0y,0,18,34,45,20,28
4jsz,5,13,38,13,64,56
1m0o,1,18,17,45,69,15
4iie,5,13,23,38,78,41
3gtc,8,19,7,12,24,46
3t0d,5,13,23,38,44,30
6rnt,0,18,34,45,20,28
3f6e,0,9,34,9,69,86
1f73,4,4,19,18,12,68
1nwl,3,19,20,35,13,34
1oba,5,10,31,0,47,84
2i2b,4,18,22,54,61,49
3l7c,4,4,19,18,38,68
3mjl,5,10,31,27,25,31
3l79,4,4,19,18,38,68
4ddm,1,16,14,41,32,48
1tok,5,10,30,22,57,36
1utl,8,3,8,23,19,52
1gyx,5,13,14,40,45,40
4efk,5,16,38,13,29,43
1ai4,8,16,7,51,10,73
3g30,1,8,7,10,66,71
3bf1,0,9,34,9,17,37
3gr2,8,16,7,5,74,1
3vdb,5,13,23,38,44,30
4g0q,4,18,17,45,73,5
4hj2,9,12,5,6,79,34
3ovn,1,16,21,52,56,87
1gwv,4,4,19,48,16,26
3gvb,1,16,7,51,10,73
2r5a,8,3,8,23,60,17
3f37,5,13,14,14,4,29
1ajn,8,16,26,41,56,71
4i8x,1,6,7,39,31,27
3a1e,0,9,6,9,17,20
3lvw,4,4,5,10,12,80
4b3c,5,13,38,13,64,56
4b3d,5,13,38,13,64,56
3elc,4,4,19,18,38,68
2fzc,4,7,17,56,34,5
2uyn,5,10,31,27,68,62
3bra,8,16,7,51,10,73
1pfu,5,3,26,23,60,98
2rkd,5,10,30,22,57,36
2qwb,4,4,19,18,12,68
2vyt,8,3,8,23,60,17
1rql,5,10,31,27,25,31
4bt5,5,10,31,27,68,62
2bet,5,7,17,10,34,70
2yiv,5,3,8,23,47,17
2bza,5,13,38,13,64,56
3djx,4,18,17,45,73,5
3ppr,5,3,8,40,47,35
4dsu,5,13,14,14,4,29
3moh,5,10,30,22,57,36
3zt2,1,6,3,24,46,72
3qx8,0,9,6,34,42,85
3zt3,1,6,3,24,46,72
1cet,8,19,20,28,21,27
1iih,5,10,18,30,49,12
1ugp,5,10,31,27,68,62
3g31,8,16,7,12,74,96
4b35,1,16,21,52,56,87
3c2u,8,3,8,44,19,3
1h2k,5,10,18,36,49,12
2fw6,5,10,18,36,43,12
3alt,4,4,19,48,16,26
3k8c,4,7,17,10,34,7
4ai5,5,13,38,13,29,43
4ef6,8,16,21,52,56,71
1tng,5,3,8,23,47,41
2vmc,4,4,19,18,12,80
1f4e,1,19,7,33,66,38
2w8j,4,18,17,45,69,15
3dhv,0,18,34,45,20,28
3g34,1,6,24,43,2,1
4dst,1,16,21,5,32,1
2hw2,2,2,12,16,75,33
4ceb,9,17,39,11,37,47
3ckb,4,1,4,55,41,6
3djq,0,9,34,9,73,5
4bps,8,16,7,41,56,71
1ecq,5,13,23,38,60,41
1ws4,5,13,23,38,44,30
2q8h,5,10,31,27,25,93
2rka,5,10,30,22,57,36
2v3u,5,10,31,27,68,62
3ime,1,16,26,41,40,69
4b2i,5,13,14,14,4,29
4k0o,4,4,19,48,16,26
4l51,4,7,17,45,34,7
1utm,8,16,21,52,56,52
4g0p,4,18,17,45,73,5
2vmd,5,13,23,38,44,30
1ogd,5,13,23,38,78,41
1ws5,5,13,23,38,44,30
2ha3,5,10,31,0,47,84
3adv,8,16,7,52,10,52
1rtf,5,13,38,13,64,56
3t08,8,4,19,18,19,3
3t1m,9,14,15,35,54,81
4i7k,5,13,14,14,4,29
1f74,4,4,19,18,12,80
1uj5,4,7,17,10,34,7
1uj6,4,7,17,18,34,7
4g5f,8,16,7,51,10,73
2jfh,1,14,13,33,52,38
1rnm,0,18,17,45,73,5
3mof,5,10,31,27,68,93
1y1z,5,10,31,27,68,62
1ugw,5,13,23,38,44,30
1ec9,4,4,23,18,12,68
3buf,8,16,7,51,10,73
3f78,5,10,30,22,57,36
3c2r,5,13,14,40,45,40
4bt3,5,10,31,27,68,62
4cgi,3,17,20,35,13,34
1ax0,4,4,19,18,12,80
2ya7,4,4,19,18,12,68
4b34,5,13,38,13,29,56
1e6q,5,13,23,38,44,30
4de5,8,16,7,51,10,73
4fzj,1,16,26,53,40,69
4lw1,1,8,3,39,32,48
3f34,5,13,21,52,56,52
1ro7,0,18,34,34,42,37
3bug,8,16,7,52,19,52
3dxh,0,9,34,9,73,5
3g1v,4,18,17,45,73,5
4gzx,4,4,19,48,16,26
1axz,5,13,23,38,44,30
1s5z,0,18,22,54,20,28
1br6,1,6,29,5,30,99
1e6s,5,13,23,38,44,30
1ew9,5,10,31,27,25,93
1k1y,2,1,4,55,41,6
1tog,8,16,7,51,10,73
1zc9,4,7,17,51,34,7
2ri9,5,13,23,14,78,41
2uy3,1,16,26,5,74,43
3aru,8,19,20,43,74,88
4n5d,1,16,7,51,74,43
1px4,8,4,19,18,19,3
3zsy,3,17,20,35,13,95
3qfz,5,13,23,38,44,30
4b2l,8,19,7,12,66,71
1v2j,5,13,38,13,64,56
3ta1,0,9,34,9,17,37
3t1l,4,4,19,18,54,81
5yas,5,10,31,27,68,93
3ioe,4,18,22,54,61,49
3d52,4,4,19,18,38,81
3tfu,4,18,17,45,69,15
4fl1,0,9,6,9,17,20
1d7j,5,10,31,0,47,29
1phw,4,7,17,45,34,7
1tpw,5,7,30,30,50,70
2vw2,8,3,8,44,58,22
3aaq,0,9,6,9,17,20
3hcm,1,19,20,3,27,46
4ddh,1,16,3,39,66,71
4jss,5,13,14,14,4,29
1i2s,5,10,18,36,43,12
1pzp,1,6,3,39,31,94
1pzo,1,6,3,39,31,94
2wk6,5,10,14,14,4,66
4i7j,5,10,31,27,25,31
188l,5,13,14,14,4,29
1jlr,0,9,6,9,17,20
2pnc,1,16,21,52,32,46
4ab9,8,16,21,52,56,87
4b0b,1,6,29,39,31,59
4b5t,5,10,31,27,68,62
4b5w,5,10,31,27,68,31
3f33,8,16,21,52,18,52
4b32,8,16,21,52,56,87
4bt4,5,10,31,27,68,62
3c2o,5,13,14,40,45,40
3pwk,5,3,8,40,47,17
2vc7,8,3,8,44,58,22
187l,5,3,38,13,64,56
1tnh,5,16,26,53,40,69
1v2u,5,13,38,13,64,56
3d8z,8,19,20,43,74,76
3n35,4,4,19,18,12,80
4b33,5,13,38,13,64,56
2fzg,1,8,9,49,11,58
3tay,4,4,19,18,12,68
3w07,0,18,17,45,73,5
1toj,8,16,7,51,10,73
4ipn,4,4,19,48,16,26
1bxr,0,9,6,9,17,20
1ikt,8,0,1,15,18,96
1l83,5,10,31,27,25,31
1m83,0,9,6,9,17,20
1uz4,5,13,23,38,44,50
220l,5,10,31,27,25,31
223l,5,10,31,27,25,31
2vvp,4,7,17,10,34,7
3d8y,8,19,20,12,13,76
3jzh,2,12,10,17,65,24
4abe,8,16,21,12,31,52
2v2c,5,10,30,22,57,36
2qtn,4,18,17,45,73,5
2sim,4,4,19,18,12,68
2w08,5,10,18,36,49,35
3iob,4,18,22,54,61,49
2xog,4,18,22,54,42,28
3axz,4,18,22,54,61,49
3nik,4,12,5,1,3,19
1moq,4,7,17,18,34,7
4k5p,8,16,7,12,24,71
3ta0,0,9,6,9,17,20
4epy,3,17,39,11,37,39
4h42,1,8,9,5,32,48
2p3i,4,4,19,18,12,68
3g1d,0,18,17,45,73,5
3gx0,2,12,10,1,3,19
3nyd,5,13,14,14,4,40
1c5o,5,13,38,13,64,56
1gzc,4,4,19,48,16,26
1utn,5,13,38,13,64,56
4b5s,5,10,31,27,68,31
4i7p,5,10,14,14,25,29
1gz9,4,1,4,55,41,6
2r0h,2,1,4,55,41,6
1jys,5,13,14,14,4,29
2j27,5,10,30,22,57,36
2vw1,4,4,19,18,12,68
3lcu,4,18,22,54,61,49
3mfw,8,16,7,10,60,71
4eky,4,4,19,18,38,68
185l,5,13,14,14,4,29
3obq,2,11,0,2,36,14
1v2r,9,14,13,6,79,38
2cle,1,7,17,42,26,97
2qwc,4,4,19,18,12,68
4aji,8,16,7,12,74,71
1h46,8,19,20,12,21,27
1np0,4,16,21,18,19,3
3ff3,5,10,18,36,49,35
4abg,8,19,20,12,19,52
3dx1,5,13,23,14,78,41
1nli,5,13,14,14,4,29
2gsu,0,18,34,45,20,28
2nn8,6,15,2,37,7,74
1d7i,5,10,14,14,47,29
2fzk,1,8,9,49,11,5
2qpu,4,4,19,48,16,26
2xdk,1,16,21,52,56,87
3afk,6,15,2,37,7,8
3b3x,5,10,18,36,43,12
3g0i,5,3,8,23,47,17
3jdw,5,3,8,23,60,98
3m3o,4,4,19,48,16,26
4b3b,9,12,15,6,79,63
3jzj,2,1,4,55,41,6
3sk2,1,6,3,31,71,9
1pb9,5,10,31,27,25,31
4bkt,8,19,7,12,66,76
1gyy,1,16,7,41,66,71
2azr,1,8,9,51,32,48
2rk8,5,10,31,27,68,93
4iuo,5,13,26,53,40,50
4agl,1,8,16,7,39,66
2qv7,0,9,34,9,17,37
3buh,8,19,20,12,19,52
3oy8,4,4,19,48,16,26
3pcn,6,15,25,8,7,90
3t2q,5,13,23,38,44,30
4aia,5,13,38,13,29,43
4fl2,0,9,6,9,17,20
1c3x,1,8,16,7,32,66
2x6x,2,1,4,55,41,6
3ioc,3,6,22,54,61,49
3isj,1,8,9,33,66,1
4aje,1,8,16,41,32,21
4io7,8,16,7,23,10,73
4isu,4,19,7,51,10,73
2a8g,4,18,22,54,61,49
3d7b,4,4,22,18,38,68
1bcj,4,4,19,18,12,80
1gz3,0,9,6,9,17,20
1gz4,0,9,6,9,17,20
1pdz,5,10,30,22,57,36
1wht,8,16,7,12,10,73
2bvr,1,6,29,57,30,59
2fx6,5,13,38,13,29,56
3l59,8,19,7,15,74,96
2vfk,0,18,34,45,20,28
3fj7,5,10,30,22,57,36
3g32,1,6,3,5,66,1
1ai5,5,16,38,41,45,40
1grp,5,10,18,36,49,12
2am4,0,9,34,9,73,37
3f5l,4,4,19,48,16,26
3q6z,0,9,34,9,42,37
4tln,5,3,8,23,60,17
3fjg,5,10,18,30,49,12
4fz3,2,11,10,17,33,24
1f5k,5,13,38,13,64,56
2wq5,9,2,12,20,54,0
2pyi,4,4,19,18,38,81
3d6p,4,4,19,18,38,68
2x09,5,13,23,38,44,30
3d6q,4,4,20,18,38,76
1kui,9,12,15,6,79,63
2v2h,5,10,30,22,57,36
2y9g,4,4,19,48,16,26
3ao2,1,8,16,5,32,21
2clk,5,7,30,30,49,70
1kug,4,12,15,6,79,63
1li6,5,10,31,27,25,31
1nje,0,18,17,45,73,5
3t09,5,13,23,38,44,30
4ajl,1,19,29,5,2,1
2hu6,3,6,20,35,54,18
3ai8,1,16,26,41,40,69
1hn4,8,3,8,44,58,22
3g2h,4,4,19,18,38,81
4aba,1,16,21,52,32,52
4bks,1,19,20,35,66,18
1j16,5,13,38,13,64,56
1utj,5,13,38,13,64,56
3lzz,0,9,34,9,17,37
2wzs,5,13,23,38,44,30
2yb0,4,4,19,18,38,68
3mv0,5,13,23,38,44,30
3lbz,1,8,16,7,32,21
3spf,3,17,27,58,76,42
4i9u,1,8,9,49,11,13
1aj7,1,8,7,33,24,58
1v16,0,18,34,9,69,86
3g2l,3,6,3,3,54,81
3w5n,5,13,23,38,78,41
3wjw,4,18,17,45,73,5
3si4,8,19,20,35,13,34
1m0q,4,7,17,45,69,15
2ctc,8,16,7,51,10,73
3iae,9,2,12,46,69,86
3obx,2,11,37,19,33,91
3umo,0,9,6,9,17,20
4aj4,1,8,9,5,32,1
1avn,5,13,38,13,64,56
2gvv,8,3,8,44,58,22
2qw1,5,13,23,38,44,30
2rkm,8,3,5,23,3,17
2vhj,0,9,34,9,17,37
2vuk,3,19,24,28,21,72
2wor,1,6,3,39,31,94
2wos,1,6,3,39,31,94
2xpc,3,14,13,46,52,38
1kuk,9,12,5,6,13,34
1pr5,4,18,22,54,61,49
2yim,0,9,6,34,42,85
3ap4,4,4,19,48,16,26
3twp,5,13,14,40,45,40
1h5v,2,1,4,25,51,45
2a5b,4,18,22,54,38,68
2cbz,0,9,6,9,17,20
1v1m,0,18,34,9,69,86
1z3t,4,4,19,48,16,26
2v3d,8,4,19,18,19,3
4bi6,5,10,30,22,57,36
1mrs,0,18,17,45,73,5
2fpz,5,13,38,13,29,56
2wec,9,2,15,6,79,63
3c39,5,10,18,30,49,12
3gt9,3,17,27,58,76,95
4gqr,1,4,3,31,71,9
4agn,3,19,20,35,21,27
1v11,0,18,34,9,69,86
3b3c,5,3,8,40,47,35
4agm,1,19,16,7,39,21
1rpf,4,18,17,45,73,15
2g8r,4,4,22,18,38,68
4i7l,5,13,14,14,4,29
1e5j,2,1,4,55,41,6
1lgw,5,13,14,14,4,29
1nu3,5,3,8,23,47,17
1tni,8,3,8,12,19,52
1wc1,0,9,6,9,17,20
2buv,5,13,26,53,40,50
2ot1,1,8,9,49,11,13
2qrl,5,10,18,36,49,12
2rin,8,3,8,0,18,84
2whp,8,19,7,12,24,27
3a1c,0,9,6,9,17,20
3ijh,4,4,19,18,12,3
3m8t,1,8,9,51,10,73
3vd9,8,4,19,18,19,3
1c5z,5,13,38,13,64,56
1v2w,9,14,13,6,79,38
3fzn,0,9,34,46,69,86
2wvz,5,13,23,38,44,30
3po1,1,8,29,5,30,1
2q8m,0,18,34,45,20,28
2qrm,4,4,19,18,38,81
2x96,9,2,15,26,76,11
3bxh,4,7,17,18,34,7
3nq9,8,3,8,44,58,22
1hi5,0,9,34,9,17,37
1li2,5,13,14,14,4,29
1r4w,4,4,5,10,12,80
1toi,8,16,7,51,10,73
1tuf,8,3,8,44,58,22
2rk7,5,10,31,27,68,93
3fjz,5,10,18,36,49,12
3n8k,5,13,14,40,45,40
3qx9,0,9,6,9,17,20
2clh,1,8,9,33,11,13
3m3c,4,4,19,48,16,26
8a3h,4,4,19,48,16,26
1hyo,5,16,26,53,40,69
2v2v,4,18,22,54,38,81
2rke,5,10,28,27,25,10
2z1w,8,19,7,12,24,46
1ai7,5,13,14,14,4,29
1o0n,4,18,17,45,73,15
2v88,2,11,11,59,9,75
4b9z,2,1,4,55,41,6
4fxp,0,9,34,9,17,37
1c5t,1,16,21,52,56,87
1odj,4,18,22,54,38,49
2bvs,9,12,15,6,79,63
3gk1,8,19,20,12,66,46
3iod,3,6,22,54,61,49
1p19,0,18,34,45,20,28
1z3v,4,4,19,48,16,26
2exm,8,19,20,43,27,46
3d6o,4,4,20,18,38,76
3oyw,4,4,19,48,16,26
3v4t,0,9,34,34,42,37
4ih5,1,6,3,39,31,94
3a1d,0,9,34,9,17,37
3ivc,3,6,39,24,46,72
3mam,5,10,31,0,68,84
4kxb,8,19,5,12,13,76
3qto,8,19,20,35,13,34
4i7m,8,16,21,52,56,87
1m2x,8,16,7,10,19,17
1q91,3,14,13,42,6,99
2v2q,4,18,22,54,38,81
2vt3,0,9,6,9,17,20
2xg9,4,4,19,48,16,26
3a9i,8,3,8,23,60,17
3c8e,4,4,5,10,12,80
3d51,5,13,23,38,44,30
3sur,4,4,21,18,19,3
3sus,6,15,2,37,7,74
4abh,8,16,21,52,19,52
3si3,8,19,20,35,13,34
4jkw,0,7,17,56,8,5
1v2s,5,13,38,13,64,56
2vxj,4,1,4,55,41,6
3qfd,2,11,10,17,9,2
2qfu,5,10,18,36,49,12
3q2j,1,8,9,33,66,1
1hi3,0,18,34,45,20,28
3cr5,8,19,29,57,30,59
3sv2,8,19,20,35,13,34
1c5y,1,16,21,52,56,87
1c87,1,8,9,51,32,48
1ghw,1,6,29,57,30,59
1n3z,4,18,17,45,73,15
2r2b,2,1,4,55,41,6
3djp,4,18,17,45,73,15
3qx5,3,19,20,35,13,34
1odi,4,18,22,54,61,49
1qk4,0,18,34,45,20,28
4bqs,5,16,26,53,40,50
1kv5,5,10,30,22,57,36
1pzi,4,4,19,18,38,81
1t5f,8,3,8,23,60,17
1ua4,0,18,34,45,20,28
3kyq,8,3,8,44,58,22
4gny,8,3,8,44,58,22
2jke,5,13,23,38,44,30
2jkp,5,13,23,38,44,30
3zqe,8,0,1,47,22,32
2bes,4,7,17,10,34,7
3h78,5,13,14,40,45,40
1li3,5,13,14,14,4,29
2qrk,0,18,34,45,20,28
3qwc,3,19,20,35,13,34
1m5w,4,7,17,51,34,7
2vzr,5,13,23,38,44,50
3f5j,2,1,4,55,41,6
3gta,3,17,27,58,76,95
3jrs,8,0,1,47,18,96
1e2l,4,19,7,18,74,68
1v2l,5,13,38,13,64,56
2wuf,8,0,1,47,22,32
4i3z,0,9,34,9,17,37
1amk,5,10,30,22,57,36
1det,0,18,34,45,20,28
2cli,1,7,17,42,26,97
2q7y,2,12,5,1,65,77
3moe,5,10,30,22,57,36
3obu,2,11,0,2,36,14
3t0b,8,4,19,18,19,3
3upk,0,9,34,34,42,37
4eoh,5,13,38,13,29,43
4jc1,4,4,19,48,16,26
1ajq,5,13,14,40,45,40
2tpi,8,3,8,23,3,17
4kow,1,14,13,6,6,99
2ha6,8,3,8,0,18,84
2qtt,4,4,22,54,38,81
4rsk,4,18,17,45,73,15
1olx,0,18,34,9,69,86
3l7a,4,4,22,18,38,81
4ijh,1,8,9,24,46,21
1e3v,8,0,1,47,22,32
1z6s,0,18,34,45,20,28
2ha5,8,3,8,0,18,84
1ghv,1,6,29,57,30,59
1sv3,8,16,7,51,10,73
1yfz,0,18,34,45,20,28
1dy4,8,19,20,12,21,27
2ez7,5,16,26,10,60,98
3rsr,0,9,6,9,17,20
4nbn,1,6,29,57,31,59
1td7,1,8,32,42,26,97
4gu9,1,6,3,39,66,94
1bhf,9,12,10,6,79,63
3b24,8,16,21,52,56,87
3guz,5,13,31,40,47,35
2avq,2,11,10,17,48,2
2hjb,8,16,7,12,18,52
3djo,4,18,17,45,73,5
1p57,1,6,29,57,30,59
2pwd,5,13,23,38,44,30
3jzg,4,12,5,1,3,19
4abd,8,16,21,52,31,52
4dy6,0,9,6,34,42,37
1no6,1,6,3,39,46,94
1olu,0,18,34,9,69,86
2csn,1,8,9,33,66,1
2ypp,8,16,7,10,60,71
3rsx,1,6,29,39,31,94
3uxd,5,13,14,14,4,29
4exs,8,16,7,10,19,17
1tjp,4,18,17,45,73,80
3dri,4,12,5,1,3,19
4ek9,4,18,22,54,61,49
2pu2,1,6,3,24,46,18
2we3,0,9,6,9,17,20
2wyf,4,4,19,48,16,26
3kqr,5,10,30,40,47,35
3m3e,4,4,19,48,16,26
4axd,0,9,6,9,17,20
4dsy,1,16,7,39,31,73
4jpy,8,16,7,23,10,73
4kcx,3,17,20,32,37,92
2amt,0,9,34,9,42,37
3u81,4,18,22,54,61,49
2v86,7,11,11,59,53,75
4gki,3,17,24,15,0,57
4i8n,3,14,13,24,6,4
2r2w,1,19,29,57,30,59
2v83,7,11,11,59,53,75
3hl5,9,17,15,26,76,95
1jaq,4,12,5,1,3,80
1qan,4,18,22,54,61,49
2ogy,6,15,2,37,7,8
3p17,8,19,20,35,13,34
3t01,5,10,31,27,68,93
4dhl,1,6,3,39,32,48
1hi4,0,18,34,45,20,28
1j14,5,13,38,13,64,56
1o7o,0,9,34,9,73,5
3hl8,1,6,20,15,0,57
3kmy,1,6,29,39,31,27
4el0,4,4,19,18,38,81
2eg8,5,13,30,40,45,40
3n7h,8,19,20,12,74,52
3sw8,1,8,3,5,66,1
1gi7,1,6,29,57,30,59
2r1y,4,4,23,18,12,3
3aas,1,19,7,5,66,1
3uug,5,13,23,38,44,50
4abb,8,16,21,52,56,87
4g90,4,4,22,54,38,81
1ctt,4,4,19,18,38,68
1gu1,5,13,26,53,40,50
1mrn,0,9,6,34,42,85
1z4o,4,7,17,18,34,7
2a4m,8,16,7,12,66,71
2ra6,8,16,21,52,56,87
2wm0,2,1,4,55,41,6
3bzf,2,11,11,59,9,75
3gy7,6,15,2,37,7,74
3r6u,5,10,31,0,47,84
4gzw,2,1,4,55,41,6
3h30,1,6,22,54,38,81
1amw,0,9,34,9,17,37
1b2h,8,12,5,1,3,19
1lyx,5,10,30,22,57,36
1oko,5,13,23,38,44,30
1szd,0,9,34,9,42,37
2zz1,0,18,17,45,73,5
2zz2,4,18,17,45,73,5
3iub,1,6,13,33,37,38
4b76,1,19,3,39,31,46
3b2q,0,9,6,9,17,20
3djv,4,18,17,45,73,15
3p8p,8,3,8,23,60,17
3ppq,5,10,31,0,47,84
3rr4,1,6,29,5,2,1
3suv,4,4,19,18,12,80
3sym,4,4,19,18,38,68
4fp1,5,10,28,27,68,10
4bi7,5,10,30,22,57,36
